song_title,tempo_id,synch,digital_perf,other,digital_mech,mech,perf,song_total
006,4857888,0.00,0.00,0.00,0.00,1.67,1.77,3.44
1000 Grunde,5408811,0.00,0.37,0.00,0.26,2.59,34.69,37.91
20 Racks,7251178,0.00,0.00,0.00,1.06,0.00,0.00,1.06
2X2,6828144,0.34,5.91,0.00,6.56,5.37,2.38,20.56
A Flash In The Forest,5408818,0.00,0.00,0.00,0.37,0.00,0.00,0.37
A4000,6287872,0.31,39.67,0.00,86.82,0.00,0.00,126.80
Abo Malume,6635774,1.18,2.39,0.00,8.43,0.00,0.81,12.81
Above,5408952,0.00,1.99,0.02,1.36,5.02,0.81,9.20
Abstract,6717846,0.00,0.00,0.00,0.00,3.19,0.00,3.19
Abutrika,7252015,0.00,0.00,0.00,0.60,0.00,0.00,0.60
Affected,6717849,0.00,0.00,0.00,0.00,0.18,0.04,0.22
Afraid Of Darkness,6635703,0.00,0.08,0.00,0.43,0.00,0.00,0.51
Afterlight,6717853,0.00,0.00,0.00,0.00,0.09,0.00,0.09
Air,6690446,0.33,1.47,0.00,0.93,2.91,6.77,12.41
Akalam,6635708,0.00,0.00,0.00,0.02,0.00,0.00,0.02
All About You,5408965,0.00,0.02,0.00,0.02,1.11,0.28,1.43
All Around Me,6933866,1.23,9.36,0.00,10.35,0.78,13.43,35.15
All Mine,4857861,0.00,0.00,0.00,0.02,0.77,0.01,0.80
All Sheltered,6717856,0.00,0.00,0.00,0.01,0.00,0.00,0.01
All The Things You Do,5409067,0.00,0.10,0.00,0.15,4.78,2.03,7.06
All You Got Is Now,6635700,6.13,12.61,0.40,15.52,0.00,0.00,34.66
Alright Then,5074509,0.74,0.01,0.00,0.04,0.00,0.00,0.79
Alter,6717858,0.00,0.01,0.00,0.00,0.00,0.02,0.03
Amidst Chaos,7066809,0.00,0.00,0.00,0.00,1.65,0.00,1.65
Anabia,6933731,0.03,0.17,0.00,0.00,0.00,0.00,0.20
Animals,4126381,0.79,2.98,4.46,3.64,3.07,2.15,17.09
Another Life,5613839,0.00,20.71,0.00,41.60,0.00,0.00,62.31
Anthea,6717860,0.00,0.00,0.00,0.00,0.13,0.00,0.13
Any Other Way,5410476,0.00,0.00,0.00,1.09,0.00,0.00,1.09
Anything I Do,4848569,8.34,23.92,7.03,70.52,42.69,37.51,190.01
Arkansas,6717862,0.00,0.00,0.00,0.00,1.43,0.00,1.43
Arpana,6717863,0.00,0.01,0.00,0.01,0.00,0.00,0.02
Arrosa,6717864,0.00,0.00,0.00,0.01,0.33,0.00,0.34
Ask Yourself,4857955,0.00,1.21,0.00,0.97,3.75,21.80,27.73
Assistens,5409154,0.00,0.00,0.00,0.00,0.00,0.07,0.07
Atlas,6183449,0.00,0.08,0.00,0.00,0.00,0.00,0.08
Awa,6529046,0.75,8.84,0.00,37.69,8.11,22.84,78.23
Ayee,6183450,1.01,2.02,0.02,4.66,0.02,42.17,49.90
Back,6717868,0.00,0.33,0.00,0.00,0.00,0.00,0.33
Back It Up,5326532,0.01,0.90,0.02,1.92,1.14,0.02,4.01
Backflips,7251182,0.00,0.00,0.00,0.15,0.00,0.00,0.15
Bad Boy Sounds,6484908,0.00,0.03,0.00,0.22,0.25,0.86,1.36
Bang That Drum,3868932,0.00,1.06,0.00,1.09,0.50,1.38,4.03
Barrel,6717878,0.00,0.01,0.00,0.06,0.75,0.00,0.82
Bear,6717880,0.00,0.00,0.00,0.00,0.06,0.00,0.06
Better Days,4857980,0.00,0.00,0.00,0.00,0.00,1.22,1.22
Better Know,6717885,0.00,0.00,0.00,0.00,0.34,0.00,0.34
Better Without You,6485059,0.00,35.59,0.00,0.06,3.77,1.48,40.90
Big Bite,4857847,0.00,8.93,0.01,21.98,20.47,37.02,88.41
Binary Love,1226166,0.00,0.02,0.00,0.04,0.00,0.00,0.06
Biscuit,5357854,0.00,0.00,0.00,2.17,0.00,0.00,2.17
Black & Blue (aka Black And Blue),6292155,0.00,0.57,0.00,0.07,0.00,48.68,49.32
Black Mamba,6717887,0.00,0.00,0.00,0.05,0.00,0.00,0.05
Black Swan Born White,5408980,0.01,0.14,0.00,0.07,1.20,0.07,1.49
Black Warm,6717888,0.00,0.00,0.00,0.00,0.34,0.00,0.34
Blessin',6183339,0.00,0.00,0.00,0.01,0.00,0.00,0.01
Blitzer,6717891,0.00,0.00,0.00,0.00,0.32,0.00,0.32
"Blood, Sweat And Tears",5750730,1.05,1.93,0.00,9.05,0.09,0.00,12.12
Bloodline,4884881,0.03,0.83,0.05,1.02,25.60,78.21,105.74
Bolder,6717892,0.00,0.00,0.00,0.00,0.06,0.00,0.06
Boom Boom Boom,6933714,0.00,0.23,0.00,0.27,0.52,1.71,2.73
Bread,7248732,0.00,0.00,0.00,0.01,0.00,0.00,0.01
Break The Silence,7181369,0.00,0.00,0.00,0.13,0.00,0.00,0.13
Breathe,5150075,0.00,0.00,0.00,0.01,0.00,0.00,0.01
Breathless,6717897,0.00,0.01,0.00,0.25,0.00,0.00,0.26
Bring It,5506210,0.08,0.53,0.00,1.15,2.26,1328.14,1332.16
Bring It On,1316229,0.00,0.00,0.00,0.43,0.00,0.00,0.43
Broken Soldier,5409288,0.27,1.38,0.00,0.92,18.79,6.03,27.39
Brumue,6717899,0.00,0.00,0.00,0.00,0.31,0.00,0.31
Bulletproof,6183446,0.00,0.32,0.00,0.51,3.78,0.96,5.57
Burn Down,4857982,0.46,0.00,0.02,0.01,0.00,0.00,0.49
Burning Heart,7086381,0.02,0.08,0.00,1.26,0.05,0.00,1.41
Burning Up,5737031,0.00,0.79,0.00,0.00,0.00,0.00,0.79
Butter,7195708,0.44,0.00,0.00,12.81,0.00,0.00,13.25
Bye Bye Mon Amour,6485171,0.00,0.00,0.00,0.00,0.19,0.28,0.47
California (Left My Heart At Home),6485163,0.00,1.72,0.00,6.50,3.98,85.46,97.66
California Mind,4857857,0.00,0.08,0.00,0.06,1.16,0.00,1.30
Cannibal,6717902,0.00,0.00,0.00,0.20,0.00,0.00,0.20
Careless,5613846,0.02,0.36,0.00,4.35,5.38,0.11,10.22
Champione,6484872,2.39,1.87,0.02,3.58,0.00,0.00,7.86
Chasing Ghosts,5072910,0.00,0.00,0.00,0.00,1.66,0.00,1.66
Chime,6185870,0.09,0.00,0.00,0.00,0.56,0.31,0.96
Chinois,7204973,0.00,0.00,0.00,0.10,0.00,0.00,0.10
Choosy Feat. Dantae The Kid,5024998,0.00,1.87,0.00,4.25,0.29,1.27,7.68
Christmas (I Can Hardly Wait),5409038,0.00,0.01,0.00,0.30,0.00,0.00,0.31
Clandestin,6933880,3.05,28.75,0.10,110.22,72.46,206.10,420.68
Clap Clap,4854368,1.21,2.16,2.90,7.29,2.93,325.09,341.58
Cold Type,6186340,0.03,0.15,0.00,0.00,0.00,0.32,0.50
Colours,5408987,0.00,0.00,0.01,0.00,0.00,0.00,0.01
Colybri,6717906,0.00,0.02,0.00,0.10,0.29,0.00,0.41
Comes The Air (Sweat Mix),6185880,0.00,0.00,0.00,0.03,0.00,0.00,0.03
Computer Love,1251589,0.00,0.01,0.00,0.12,0.00,0.00,0.13
Constant Pressure,6635659,0.35,0.78,0.00,0.02,0.00,0.00,1.15
Copenhagen,6690449,0.00,13.91,0.00,16.91,0.31,461.56,492.69
Couldn't Be,5393316,0.00,0.65,0.01,0.56,20.18,0.00,21.40
Counting Down The Days,694944,0.25,1.45,0.00,2.21,11.17,22.56,37.64
Cracks In The Concrete,1251585,0.00,0.00,0.00,0.00,0.36,0.55,0.91
Cruzier,6717907,0.00,0.00,0.00,0.00,0.16,0.00,0.16
Cry Cry Cry,5409043,0.00,0.00,0.00,0.17,0.01,0.00,0.18
Cry Me A River,7251237,0.00,0.07,0.00,0.00,0.00,0.00,0.07
Daily Pills,7248738,0.00,0.20,0.00,3.96,0.00,0.00,4.16
Dance Dance,738594,0.76,5.08,0.58,36.30,0.04,2.01,44.77
Dance It Better,5613855,0.00,0.61,0.00,7.77,14.75,40.89,64.02
Dance On The Table,5074525,0.71,25.45,0.30,62.11,22.63,33.86,145.06
Dance So Well,5666857,0.00,186.95,0.00,27.26,35.23,7.48,256.92
Dangerous,7518808,0.00,0.00,0.00,0.00,0.00,0.62,0.62
